ItemNum,ItemName,Dept_ID,Price,Prompt_Quantity
0860400001,1921 TEQUILA BLANCO 750ML,01,38.99000000,False
0860400003,1921 REPOSADO TEQUILA 750ML,01,39.99000000,False
0860400005,1921 ANEJO TEQUILA 750ML,01,45.99000000,False
0860400049,1921 Crema De Tequila 750ml,01,24.99000000,False
0860410020,1921 Crema DeTequila 50ml,01,1.99000000,False
088586003400,SANTA CRISTINA CHIANTI 750ML,02,13.99000000,False
0886630342,CHEAP BASTARD WHITE 750ML,02,7.99000000,False
0893561701,IDONIKO TSIPOURO LIQ 750ML,01,20.99000000,False
0906712210,VIGORELLO TQSCANA 750ML,02,52.99000000,False
0922411034,GRAND BREUIL XO 750ML,01,69.99000000,False
0928610175,DUCKWALK CAB/SAU 750ML,02,9.99000000,False
0928610177,DUCK WALK WINDMILL WHITE 750ML,02,7.99000000,False
0928610180,DUCK WALK MERLOT 750ML,02,9.99000000,False
0928610181,DUCK WALK APHRODITE 375,02,15.99000000,False
0928610184,DUCK WALK GATSBY RED,02,9.99000000,False
0928610187,DUCK WALK BLUEBERRY PORT 375ML,02,18.99000000,False
0928610188,DUCK WALK BOYSENBERRY PORT 375,02,16.99000000,False
0928610193,DUCK WALK ICE WINE 375,02,25.99000000,False
0928643947,ALOIS LAGEDER P/G 750ML,01,14.99000000,False
0928644960,RIFF PINOT GRIGIO 750ML,01,10.99000000,False
0961344364,OLE SMOKY BLACKBERRY,01,21.99000000,False
0972260237,MAYFAIR GIN 750ML,01,29.99000000,False
09747904590529025,PARALLEL CAB 750ML,02,59.99000000,False
09784509875209852,CELLIERS CONTEMPORAINS CAB 750,02,6.99000000,False
0984698635036,SALUS STAGLIN CAB SAU 750ML,02,99.99000000,False
0992902050,WHITE NIGHTS VODKA 50ML,01,1.49000000,False
0992902053,RODELL NAPOLEON BRANDY 200ML,01,4.60000000,False
0992902054,RODELL V S O P 375ML,01,7.99000000,False
0992902056,RODELL NAPOLEON BRANDY 1.0L,01,14.99000000,False
0992902069,RODELL NAPOLEON V.S.O.P 1.75L,01,24.99000000,False
1008055003,Whistlepig Piggybag 6Year BBN,788888,44.99000000,False
1008608022,CASTELIO CHARDONNAY,01,9.99000000,False
1008610047,RIONDO PROSECCO 750,02,12.99000000,False
1008610106,RIONDO PINK,02,11.99000000,False
1008610130,RIONDO PINOT GRIGIO 750ML,02,8.99000000,False
1008610138,SAN NICOLA MONTEPULCIANO,02,10.99000000,False
1008610139,SAN NICOLA PINOT GRIGIO 1.5,02,9.99000000,False
1008610141,SAN NICOLA PINOT NOIR 1.5L,02,10.99000000,False
1008610153,SAN NICOLA MERLOT 1.5,02,10.99000000,False
1008610155,SAN NICOLA CAB/SAV 1.5,02,10.99000000,False
1008610162,RIONDO MOSCATO 750ML,02,9.99000000,False
1008610197,CRAZY FISH SWEET RIESLING,02,9.99000000,False
1008610198,CRAZY FISH SWEET RED 750ML,02,9.99000000,False
1008610209,BEE FAMOUS ORGANI MERLOT 750ML,02,9.99000000,False
1008610212,CHIARIERI MONTEPULC 750 ML,02,15.99000000,False
1008610332,HOLA  AMIGO CABE SAUV 1.5L,02,9.99000000,False
1008610333,HOLA  AMIGO CABE SAU 750ML,02,8.99000000,False
1008610334,HOLA AMIGO MERLOT 1.5L,02,9.99000000,False
1008610340,BLU PROSECCO 750ML,02,14.99000000,False
1008610341,BLU PROSECCO 187ML,02,3.99000000,False
1008610343,FRIZECCO PEACH MOSC ATO750ML,02,10.99000000,False
1008610344,FRIZECCO MANGO MOSC ATO750ML,02,10.99000000,False
1008610345,FRIZECCO STRAWBERRY MOSC 750ML,02,10.99000000,False
1008610347,R37 PROSECCO RIONDO 750ML,02,15.99000000,False
1008610371,FRIZECCO COCONUT MOSC ATO750ML,02,10.99000000,False
1008610412,SAN NICOLA SAUV/BLANC 1.5L,02,10.99000000,False
1008610413,SAN NICOLA MOSCATO 1.5L,02,10.99000000,False
1008620119,SANT ARTURO PINOT GRIGIO 750ML,02,9.99000000,False
1008620150,1919 CAB 750ML,02,9.99000000,False
1008620151,1919 MALBEC 750ML,02,9.99000000,False
1008620207,VIGNETI ALL 750ML,02,6.99000000,False
1008620431,SAN MICHELE MONTEPULCIANO 1.5L,02,6.99000000,False
1008641010,VILLA VISCO RIESLING,02,9.99000000,False
1008837016,OleSmoky Strawberry CReam 50ml,01,2.99000000,False
1008837018,Ole Smoky Banana Pudding 50ml,01,2.99000000,False
1009840754,Martingale Cognac 375ml,788888,89.99000000,False
1010136,CAKEBREAD PINOT NOIR 750ML,02,63.90000000,False
1010801004,GRAN DUQUE DALBA 750ML,01,19.99000000,False
1010801033,XANTE PEAR COGNAC LIQUOR,01,34.99000000,False
1012473031,Harmino Peach Moscato,02,10.99000000,False
1012473032,Harmino Moscato Mango,02,10.99000000,False
1037064119,L D AUCHNAGIE SCOTCH 750ML,01,59.99000000,False
1037064123,Lost Distillery Stratheden,01,59.99000000,False
1037067988,Lost Distillery Gerston,01,59.99000000,False
1037068066,Lost Distillery Benachie 750ml,01,41.99000000,False
1037068070,Lost Distillery Lossit 750ml,01,41.99000000,False
1037068074,Lost Distillery Towiemore750ml,01,41.99000000,False
1037500023,CUSUMANO NERO D''AVOLA,02,10.99000000,False
1046520890,Joseph Phelps Cab/Sauv 750ml,02,89.99000000,False
1046552050,Joseph Phelps Pinot Noir 750ml,01,59.99000000,False
1046570960,Joseph Phelps Insignia 750ml,02,209.99000000,False
1046570962,Joseph Phelps Insignia 1L,02,449.99000000,False
1056309892,SOPLICA VODKA 50ML,01,74.99000000,False
1056309908,Dutchcraft Vodka 50ml,66666666,1.49000000,False
1056309910,DUTCHCRAFT VODKA 375ML,01,6.99000000,False
1073501346,AMERICAN BARRELLS BRBN 750ML,01,34.99000000,False
1075800002,GROOME SHIRAZ  750ML,01,39.99000000,False
10850000865133,Gancia Picnic Pack 12 bt,01,29.99000000,False
1087902010,90 + BIG RED BLEND 750ML,02,9.99000000,False
1087902013,IRON SIDE CABER SAUV 750ML,02,13.99000000,False
1087902020,90 + SAUVIGNON BLANC 1.5L,02,17.99000000,False
1087902039,MAGIC DOOR CABER SAUV 750ML,01,44.99000000,False
1087902040,MAGIC DOOR CABE SAUV 750ML,02,49.99000000,False
1087902041,IRON SIDE RED BLEND 750ML,02,16.99000000,False
1087902052,LILA  ROSE WINE  250ML,02,3.99000000,False
1087902074,LILA SPARKLING VINO 250ML,02,3.99000000,False
1087902087,IRON SIDE PINOT NOIR RES 750ML,02,21.99000000,False
1087902088,90 + CHIANTI RISERVA 750ML,02,12.99000000,False
1087902091,LILA BUBBLY ROSE 250ML,02,3.99000000,False
1087902106,M T K PROVENCE ROSE 750ML,02,17.99000000,False
1087902208,Buddys Vodka 1.75L,66666666,15.99000000,False
1088501121,Veuve Du Vernay Ice 750ml,01,14.99000000,False
1088501122,Veuve Du Vernay Ice Rose 750ml,NONE,14.99000000,False
1088501124,Pol Remy Brut 187ml,01,3.99000000,False
1088501175,Veuve Du Vernay Brut Classico,NONE,15.99000000,False
1090970715,MER SOLEIL CHARDONN 750ML,02,42.99000000,False
1090976010,Sea Sun Pinot Nior 750ml,02,19.99000000,False
1097301001,MEKHONG LIQ 750ML,01,22.99000000,False
1098600001,KENWOOD CAB SAU 750ML,02,79.99000000,False
1098600260,KENWOOD JACK LONDON MERLOT,01,26.99000000,False
1098600602,KENWOOD SAU/BLANC 750ML,02,10.99000000,False
1098601040,Campo Viejo Rose 750ml,02,10.99000000,False
1098601051,Campo Viejo Red Blend 750ml,02,10.99000000,False
1103441003,Martini & Rossi 1.5L,02,16.99000000,False
1103441004,Martini & Rossi 1L,02,12.99000000,False
1103441005,MARTINI & ROSSI SWEET VERMOUTH,01,10.99000000,False
1103441007,MARTINI & ROSSI SWEET VERM 375,02,6.99000000,False
1103442003,Martini & Rossi Extra Dry 1.5L,01,16.99000000,False
1103442004,MARTINI EXTRA DRY VERM 1L,02,12.99000000,False
1103442005,MARTINI EXTRA DRY 750ml,02,11.99000000,False
1103442007,MARTINI & ROSSI DRY 375ML,02,7.99000000,False
1103443004,MARTINI  BIANCO 1.0L,02,13.99000000,False
1103450000,MARTINI MOSCATO D ASTI,02,14.99000000,False
1103450003,MARTINI & ROSSI ASTI 1.5L,02,28.99000000,False
1103450005,MARTINI & ROSSI  ASTI 750ML,02,15.99000000,False
1103450100,MARTINI & ROSSI PROSECCO 750ML,02,14.99000000,False
1103450380,Martini & Rossi Asti 187ML,02,3.99000000,False
1103450382,MARTIN & ROSSI ROSE,02,14.99000000,False
1103450383,martini rose,02,3.49000000,False
1103450391,MARTINI ROSATO 1.0L,02,9.99000000,False
1104103001,Lalo Blanco Tequila 750ml,01,44.99000000,False
1111,CHATEAU MARTET,02,55.99000000,False
111111,ROC DE CAMBES 750ML,02,89.99000000,False
1111111,TERTRE ROTEBOEUF 750ML,02,449.99000000,False
111111111,JOHNNIE WALKER GOLD RES 200ML,01,39.99000000,False
11111199,VIN DE PAILLE ERMITAGE,02,159.99000000,False
1127202174,Rampur Double Cask 750ml,5454545,101.99000000,False
1127202194,Rampur Asava 750ml,5454545,101.99000000,False
